val_multiclassjaccardindex,val_cross_entropy,epoch,step,train_multiclassjaccardindex_epoch,train_cross_entropy_epoch,train_multiclassjaccardindex_step,train_cross_entropy_step
0.08587196469306946,1.545374870300293,0,21,,,,
,,0,21,0.05747738108038902,2.197683095932007,,
0.09874513745307922,1.1290899515151978,1,43,,,,
,,1,43,0.10081324726343155,1.1892306804656982,,
,,2,49,,,0.12537038326263428,0.8123054504394531
0.11049258708953857,1.0417441129684448,2,65,,,,
,,2,65,0.11254048347473145,0.9557445645332336,,
0.11659593880176544,0.9568349123001099,3,87,,,,
,,3,87,0.11718089133501053,0.8920371532440186,,
,,4,99,,,0.11923636496067047,0.7966692447662354
0.1338360607624054,0.8272429704666138,4,109,,,,
,,4,109,0.12944325804710388,0.8001865744590759,,
0.1390901803970337,0.7596153020858765,5,131,,,,
,,5,131,0.14346665143966675,0.7483962774276733,,
,,6,149,,,0.14570030570030212,0.5023249983787537
0.13990823924541473,0.7773016095161438,6,153,,,,
,,6,153,0.14484845101833344,0.7178690433502197,,
0.1374446600675583,0.7576251029968262,7,175,,,,
,,7,175,0.15022887289524078,0.6887796521186829,,
0.14993256330490112,0.7090320587158203,8,197,,,,
,,8,197,0.15238173305988312,0.6555395722389221,,
,,9,199,,,0.1449718475341797,0.5457065105438232
0.16085878014564514,0.6634608507156372,9,219,,,,
,,9,219,0.15855085849761963,0.6254329085350037,,
0.15975752472877502,0.6774404644966125,10,241,,,,
,,10,241,0.16653507947921753,0.6032156348228455,,
,,11,249,,,0.13800275325775146,0.6191695928573608
0.16636638343334198,0.6297651529312134,11,263,,,,
,,11,263,0.1703619807958603,0.5733452439308167,,
0.16010335087776184,0.6904491186141968,12,285,,,,
,,12,285,0.16958174109458923,0.5915068984031677,,
,,13,299,,,0.1731480360031128,0.6088101863861084
0.16916683316230774,0.6356823444366455,13,307,,,,
,,13,307,0.1758294403553009,0.5764772891998291,,
0.17086073756217957,0.637893557548523,14,329,,,,
,,14,329,0.18008196353912354,0.5518469214439392,,
,,15,349,,,0.18065983057022095,0.5195019245147705
0.16842535138130188,0.6432605981826782,15,351,,,,
,,15,351,0.18591096997261047,0.5256354808807373,,
0.1667572259902954,0.6004393696784973,16,373,,,,
,,16,373,0.19190287590026855,0.5158328413963318,,
0.165829598903656,0.631055474281311,17,395,,,,
,,17,395,0.19522956013679504,0.5157146453857422,,
,,18,399,,,0.19579483568668365,0.43161624670028687
0.18274137377738953,0.6070746779441833,18,417,,,,
,,18,417,0.2120838463306427,0.4956408441066742,,
0.17842140793800354,0.5902988314628601,19,439,,,,
,,19,439,0.22087138891220093,0.4780852496623993,,
,,20,449,,,0.2017255425453186,0.4725945293903351
0.18978750705718994,0.5940664410591125,20,461,,,,
,,20,461,0.22359660267829895,0.47625014185905457,,
0.19526004791259766,0.5802728533744812,21,483,,,,
,,21,483,0.2327263355255127,0.46645209193229675,,
,,22,499,,,0.24197641015052795,0.37186092138290405
0.19165268540382385,0.5967915058135986,22,505,,,,
,,22,505,0.23608534038066864,0.45762455463409424,,
0.19891859591007233,0.5787847638130188,23,527,,,,
,,23,527,0.23965424299240112,0.45625293254852295,,
,,24,549,,,0.21850547194480896,0.42065533995628357
0.1958111822605133,0.6178022623062134,24,549,,,,
,,24,549,0.24601271748542786,0.4483307898044586,,
0.19888168573379517,0.5874345302581787,25,571,,,,
,,25,571,0.23098531365394592,0.4504092037677765,,
0.18843606114387512,0.6085382699966431,26,593,,,,
,,26,593,0.24614840745925903,0.4264222979545593,,
,,27,599,,,0.2609555423259735,0.35379675030708313
0.20781049132347107,0.5756112337112427,27,615,,,,
,,27,615,0.260162353515625,0.41006410121917725,,
0.1990697979927063,0.5678695440292358,28,637,,,,
,,28,637,0.27299755811691284,0.41006746888160706,,
,,29,649,,,0.23060114681720734,0.3341985046863556
0.2101229429244995,0.5219539999961853,29,659,,,,
,,29,659,0.2835003137588501,0.3880530595779419,,
0.21342581510543823,0.5347234606742859,30,681,,,,
,,30,681,0.29585564136505127,0.3765190839767456,,
,,31,699,,,0.2506636381149292,0.42188021540641785
0.21503715217113495,0.5481588840484619,31,703,,,,
,,31,703,0.2979268729686737,0.3802913725376129,,
0.20820394158363342,0.5696858167648315,32,725,,,,
,,32,725,0.30278146266937256,0.37008044123649597,,
0.20852723717689514,0.5861872434616089,33,747,,,,
,,33,747,0.30369454622268677,0.38073471188545227,,
,,34,749,,,0.22245243191719055,0.33364981412887573
0.21462832391262054,0.5684955716133118,34,769,,,,
,,34,769,0.3054518699645996,0.3748438060283661,,
0.20493924617767334,0.5763662457466125,35,791,,,,
,,35,791,0.310453861951828,0.37147942185401917,,
,,36,799,,,0.21665464341640472,0.3632311224937439
0.224587082862854,0.5642496347427368,36,813,,,,
,,36,813,0.3102964758872986,0.4105704426765442,,
0.21291622519493103,0.5580874681472778,37,835,,,,
,,37,835,0.3213541507720947,0.372083455324173,,
,,38,849,,,0.2878585457801819,0.34544500708580017
0.23846271634101868,0.5408182144165039,38,857,,,,
,,38,857,0.3398812711238861,0.34218499064445496,,
0.22706028819084167,0.5467034578323364,39,879,,,,
,,39,879,0.35090285539627075,0.3417728543281555,,
,,40,899,,,0.24803505837917328,0.36422210931777954
0.22428081929683685,0.5486089587211609,40,901,,,,
,,40,901,0.35135719180107117,0.33144959807395935,,
0.23244856297969818,0.5361108779907227,41,923,,,,
,,41,923,0.3533419072628021,0.32292088866233826,,
0.2308383584022522,0.5422711968421936,42,945,,,,
,,42,945,0.3652585446834564,0.31569793820381165,,
,,43,949,,,0.28075534105300903,0.3839259743690491
0.2352428436279297,0.5369516611099243,43,967,,,,
,,43,967,0.36800968647003174,0.31989920139312744,,
0.2311004102230072,0.5388325452804565,44,989,,,,
,,44,989,0.37508201599121094,0.31320369243621826,,
,,45,999,,,0.32721179723739624,0.3291698396205902
0.23452366888523102,0.5581728219985962,45,1011,,,,
,,45,1011,0.38904738426208496,0.3045516312122345,,
0.23237812519073486,0.5564347505569458,46,1033,,,,
,,46,1033,0.3898412883281708,0.3006964921951294,,
,,47,1049,,,0.2987408936023712,0.3156140446662903
0.2286175936460495,0.5658563375473022,47,1055,,,,
,,47,1055,0.39066892862319946,0.29839321970939636,,
0.2395152449607849,0.5326381921768188,48,1077,,,,
,,48,1077,0.40500926971435547,0.28661495447158813,,
,,49,1099,,,0.31066393852233887,0.29890015721321106
0.2432180941104889,0.5369042754173279,49,1099,,,,
,,49,1099,0.4074571132659912,0.27712252736091614,,
